kommunenr_src,kommunenavn_src,kommunenr_2020,kommune_2020,kommunenr_2024,kommuner_2024
4627,Askøy,4627,Askøy,4627,Askøy
2018,Måsøy (-2019),5434,Måsøy,5618,Måsøy
4628,Vaksdal,4628,Vaksdal,4628,Vaksdal
2019,Nordkapp (-2019),5435,Nordkapp,5620,Nordkapp
4629,Modalen,4629,Modalen,4629,Modalen
2020,Porsanger - Porsángu - Porsanki (1964-2019),5436,Porsanger - Porsángu - Porsanki,5622,Porsanger - Porsángu - Porsanki 
4630,Osterøy,4630,Osterøy,4630,Osterøy
2021,Kárásjohka - Karasjok (-2019),5437,Kárá?johka - Karasjok,5610,Kárásjohka - Karasjok
4631,Alver,4631,Alver,4631,Alver
2022,Lebesby (-2019),5438,Lebesby,5624,Lebesby
4632,Austrheim,4632,Austrheim,4632,Austrheim
2023,Gamvik (1914-2019),5439,Gamvik,5626,Gamvik
4633,Fedje,4633,Fedje,4633,Fedje
2024,Berlevåg (1914-2019),5440,Berlevåg,5630,Berlevåg
4634,Masfjorden,4634,Masfjorden,4634,Masfjorden
2025,Deatnu - Tana (-2019),5441,Deatnu - Tana,5628,Deatnu-Tana
4635,Gulen,4635,Gulen,4635,Gulen
2027,Unjárga - Nesseby (-2019),5442,Unjárga - Nesseby,5636,Unjárga-Nesseby
4636,Solund,4636,Solund,4636,Solund
2028,Båtsfjord (1955-2019),5443,Båtsfjord,5632,Båtsfjord
4637,Hyllestad,4637,Hyllestad,4637,Hyllestad
2030,Sør-Varanger (-2019),5444,Sør-Varanger,5605,Sør-Varanger
4638,Høyanger,4638,Høyanger,4638,Høyanger
5001,Trondheim,5001,Trondheim,5001,Trondheim
4639,Vik,4639,Vik,4639,Vik
4640,Sogndal,4640,Sogndal,4640,Sogndal
5004,Steinkjer (2018-2019),5006,Steinkjer,5006,Steinkjer
4641,Aurland,4641,Aurland,4641,Aurland
4642,Lærdal,4642,Lærdal,4642,Lærdal
5005,Namsos (2018-2019),5007,Namsos - Nåavmesjenjaelmie,5007,Namsos
4643,Årdal,4643,Årdal,4643,Årdal
5011,Hemne (2018-2019),5055,Heim,5055,Heim
5012,Snillfjord (2018-2019),5059,Orkland,5059,Orkland
5013,Hitra (2018-2019),5056,Hitra,5056,Hitra
5014,Frøya,5014,Frøya,5014,Frøya
5015,Ørland (2018-2019),5057,Ørland,5057,Ørland
5016,Agdenes (2018-2019),5059,Orkland,5059,Orkland
5017,Bjugn (2018-2019),5057,Ørland,5057,Ørland
5018,Åfjord (2018-2019),5058,Åfjord,5058,Åfjord
5019,Roan (2018-2019),5058,Åfjord,5058,Åfjord
5020,Osen,5020,Osen,5020,Osen
5021,Oppdal,5021,Oppdal,5021,Oppdal
5022,Rennebu,5022,Rennebu,5022,Rennebu
5023,Meldal (2018-2019),5059,Orkland,5059,Orkland
5024,Orkdal (2018-2019),5059,Orkland,5059,Orkland
5025,Røros,5025,Røros,5025,Røros
5026,Holtålen,5026,Holtålen,5026,Holtålen
5027,Midtre Gauldal,5027,Midtre Gauldal,5027,Midtre Gauldal
5028,Melhus,5028,Melhus,5028,Melhus
5029,Skaun,5029,Skaun,5029,Skaun
5030,Klæbu (2018-2019),5001,Trondheim,5001,Trondheim
5031,Malvik,5031,Malvik,5031,Malvik
5032,Selbu,5032,Selbu,5032,Selbu
5033,Tydal,5033,Tydal,5033,Tydal
5034,Meråker,5034,Meråker,5034,Meråker
5035,Stjørdal,5035,Stjørdal,5035,Stjørdal
5036,Frosta,5036,Frosta,5036,Frosta
5037,Levanger,5037,Levanger,5037,Levanger
5038,Verdal,5038,Verdal,5038,Verdal
5039,Verran (2018-2019),5006,Steinkjer,5006,Steinkjer
5040,Namdalseid (2018-2019),5007,Namsos - Nåavmesjenjaelmie,5007,Namsos
5041,Snåase - Snåsa,5041,Snåase - Snåsa,5041,Snåase - Snåsa
5042,Lierne,5042,Lierne,5042,Lierne
5043,Raarvihke - Røyrvik,5043,Raarvihke - Røyrvik,5043,Raarvihke - Røyrvik
5044,Namsskogan,5044,Namsskogan,5044,Namsskogan
5045,Grong,5045,Grong,5045,Grong
5046,Høylandet,5046,Høylandet,5046,Høylandet
5047,Overhalla,5047,Overhalla,5047,Overhalla
5048,Fosnes (2018-2019),5007,Namsos - Nåavmesjenjaelmie,5007,Namsos
5049,Flatanger,5049,Flatanger,5049,Flatanger
1506,Molde,1506,Molde,1506,Molde
5050,Vikna (2018-2019),5060,Nærøysund,5060,Nærøysund
1507,Ålesund,1507,Ålesund,1508,Ålesund
5051,Nærøy (2018-2019),5060,Nærøysund,5060,Nærøysund
5052,Leka,5052,Leka,5052,Leka
5053,Inderøy,5053,Inderøy,5053,Inderøy
5054,Indre Fosen,5054,Indre Fosen,5054,Indre Fosen
5061,Rindal,5061,Rindal,5061,Rindal
1577,Volda,1577,Volda,1577,Volda
1578,Fjord,1578,Fjord,1578,Fjord
1579,Hustadvika,1579,Hustadvika,1579,Hustadvika
1806,Narvik,1806,Narvik,1806,Narvik
1875,Hamarøy,1875,Hábmer - Hamarøy,1875,Hamarøy
4644,Luster,4644,Luster,4644,Luster
4645,Askvoll,4645,Askvoll,4645,Askvoll
4646,Fjaler,4646,Fjaler,4646,Fjaler
4647,Sunnfjord,4647,Sunnfjord,4647,Sunnfjord
4648,Bremanger,4648,Bremanger,4648,Bremanger
4649,Stad,4649,Stad,4649,Stad
4650,Gloppen,4650,Gloppen,4650,Gloppen
4651,Stryn,4651,Stryn,4651,Stryn
5055,Heim,5055,Heim,5055,Heim
5412,Tjeldsund,5412,Dielddanuorri - Tjeldsund,5512,Tjeldsund
5401,Tromsø,5401,Tromsø,5501,Tromsø
5402,Harstad,5402,Harstad - Hárstták,5503,Harstad
5411,Kvæfjord,5411,Kvæfjord,5510,Kvæfjord
5413,Ibestad,5413,Ibestad,5514,Ibestad
5414,Gratangen,5414,Gratangen,5516,Gratangen
5415,Loabák - Lavangen,5415,Loabák - Lavangen,5518,Loabák - Lavangen
5416,Bardu,5416,Bardu,5520,Bardu
5417,Salangen,5417,Salangen,5522,Salangen
5418,Målselv,5418,Målselv,5524,Målselv
5419,Sørreisa,5419,Sørreisa,5526,Sørreisa
5420,Dyrøy,5420,Dyrøy,5528,Dyrøy
5421,Senja,5421,Senja,5530,Senja
5422,Balsfjord,5422,Balsfjord,5532,Balsfjord
5423,Karlsøy,5423,Karlsøy,5534,Karlsøy
5424,Lyngen,5424,Lyngen,5536,Lyngen
